Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF FRANCISCO CARUCCIO;43101518;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA LEOPOLDO BROD, 3220 TRES VENDAS. 96070-370 Pelotas - RS.";(53) 32736100;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-31.70614;-52.3238
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF FREDERICO OZANAN;43101526;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA ZEFERINO COSTA, 1190 NA AREA DO AEROPORTO. TRES VENDAS. 96070-480 Pelotas - RS.";(53) 32270702;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-31.71399;-52.33057
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN PROFESSORA ONDINA CUNHA;43101534;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R GONCALVES CHAVES 712, 712 CENTRO. 96015-560 Pelotas - RS.";(53) 32222797;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-31.76879;-52.33835
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MUN DE ENS FUN JACOB BROD;43101550;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA FERNANDO OSORIO, 5413 TRES VENDAS. 96060-000 Pelotas - RS.";(53) 32739700;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";"Atendimento Educacional Especializado, Atividade Complementar";-31.70329;-52.34039
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF JOAQUIM NABUCO;43101569;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MONSENHOR SILVANO SOUZA, 36 AREAL. 96080-690 Pelotas - RS.";(53) 32735830;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";"Atendimento Educacional Especializado, Atividade Complementar";-31.73748;-52.32658
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF LUCIANA DE ARAUJO;43101577;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA VOLUNTARIOS DA PATRIA, 1757 CENTRO. 96015-730 Pelotas - RS.";(53) 32257799;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-31.76373;-52.34871
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN MARECHAL LUIZ ALVES DE LIMA E SILVA;43101585;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R CARLOS GOTUZZO GIACOBONI 1120, 1120 FRAGATA. 96040-240 Pelotas - RS.";(53) 32210273;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-31.74981;-52.37093
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF DONA MARIANA EUFRASIA;43101593;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA DUQUE DE CAXIAS, 900 FRAGATA. 96030-002 Pelotas - RS.";(53) 32211250;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-31.75602;-52.38433
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF MINISTRO FERNANDO OSORIO;43101607;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA FERNANDO OSORIO, 1522 TRES VENDAS. 96055-030 Pelotas - RS.";(53) 32230390;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-31.73682;-52.34442
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED MARECHAL RONDON;43101615;RS;Pelotas;Rural;A escola não está em área de localização diferenciada;Pública;"ETR MONTE BONITO 4300 9 DISTRITO, 4300 9 DISTRITO. INTERIOR. 96115-000 Pelotas - RS.";(53) 32773136;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-31.6270283333333;-52.4400683333333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN NOSSA SENHORA APARECIDA;43101623;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R DR FREDERICO BASTOS 588, 588 SIMOES LOPES. 96030-330 Pelotas - RS.";(53) 32785844;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-31.76782;-52.36125
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEF NOSSA SENHORA DAS DORES;43101631;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA CRISTOVAO JOSE DOS SANTOS, 308 TRES VENDAS. 96060-000 Pelotas - RS.";(53) 32232828;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-31.73197;-52.3302
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN NOSSA SENHORA DAS GRACAS;43101640;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R DR CASSIANO DO NASCIMENTO 714, 714 CENTRO. 96015-700 Pelotas - RS.";(53) 32275092;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-31.76243;-52.35163
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN NOSSA SENHORA DE FATIMA;43101658;RS;Pelotas;Urbana;A escola não está em área de localização diferenciada;Pública;"R CARMEM MIRANDA 756 COHAB FRAG, 756 COHAB FRAG. FRAGATA. 96050-070 Pelotas - RS.";(53) 32710188;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-31.7424;-52.38989
